109/07/01,29685342,9400765756,315,318,314,317.5,4.5,15617
109/07/02,37789178,12119073560,319,322,318,322,4.5,18355
109/07/03,55656987,18280314743,327,330.5,326.5,329.5,7.5,30235
109/07/06,57256220,19200718243,332.5,338,332,338,8.5,31866
109/07/07,59046323,20143258406,343.5,346,338,338.5,0.5,32076
109/07/08,33813218,11522915649,337.5,342.5,337.5,341,2.5,16673
109/07/09,37410376,12912747970,346,347,343,345,4,20205
109/07/10,60902108,21298923681,352.5,353,345.5,348.5,3.5,32227
109/07/13,49459523,17425372488,351,354.5,350.5,354.5,6,23217
109/07/14,63030150,22602878292,355,364,354.5,363.5,9,30996
109/07/15,75105362,27486789803,366,370,361,363,-0.5,37607
109/07/16,68582512,24506038172,359,361,353.5,357.5,-5.5,35598
109/07/17,66403485,24244495853,361,369,360,367,9.5,36729
109/07/20,44940238,16487970674,370,370,362.5,366,-1,23335
109/07/21,64440128,24491627162,372.5,387,371.5,383,17,40266
109/07/22,43959670,16844625030,381,386,379,384,1,25530
109/07/23,45397282,17302637512,382,383,379,381.5,-2.5,22916
109/07/24,90988734,35368857726,390,395,382,386,4.5,45099
109/07/27,103315640,43637877952,420.5,424.5,416.5,424.5,38.5,49294
109/07/28,172157746,77804668620,464,466.5,428.5,435,10.5,92239
109/07/29,88641166,37649278004,428,431.5,419.5,422,-13,53111
109/07/30,69936949,30329225735,436.5,441,428.5,434,12,36627
109/07/31,50484674,21567922126,426,432,425.5,425.5,-8.5,27653
