109/09/01,50129577,21681382412,430,435,428,435,8.5,17137
109/09/02,42013407,18268716092,441,441,430.5,433,-2,20242
109/09/03,40683617,17768951582,439.5,439.5,433.5,436,3,17810
109/09/04,51349911,22051596821,427,432.5,427,429,-7,27893
109/09/07,39854584,17060627028,428,432.5,425,426,-3,20003
109/09/08,23714670,10208232440,428,433,427.5,431,5,12440
109/09/09,40727362,17312991408,425,428,423,427,-4,21740
109/09/10,35281921,15275112115,432.5,435,430.5,435,8,18244
109/09/11,34893469,15171902036,435.5,436.5,432.5,436.5,1.5,14647
109/09/14,39325833,17282659859,436,442,435.5,441,4.5,19854
109/09/15,39661449,17608049536,440.5,447,439.5,445,4,21845
109/09/16,70608238,32379722344,460,462,455.5,458,13,38172
109/09/17,44420506,20006793320,453,455,446.5,448.5,X0.00,26718
109/09/18,52999922,23598268654,447,449.5,443,444,-4.5,20849
109/09/21,40193920,17842486882,443.5,450,440,440,-4,25834
109/09/22,36842639,16140184501,440,441,436,437,-3,22692
109/09/23,47426963,20592831368,436,438.5,432,433.5,-3.5,27828
109/09/24,82510381,35076048246,425.5,429,423,423,-10.5,54922
109/09/25,41263269,17522224043,427,428,421,424,1,23290
109/09/28,34427479,14758341446,427,431.5,424.5,431.5,7.5,19286
109/09/29,42730502,18419905574,432.5,435,428,431,-0.5,18647
109/09/30,28859204,12496613056,430.5,435,430.5,433,2,14203
