109/06/01,37936214,11205227094,294,296.5,293.5,295.5,3.5,15502
109/06/02,26663587,7908476089,296,297.5,296,296.5,1,9743
109/06/03,67894337,20354971677,300,301,298,301,4.5,33062
109/06/04,47225322,14414983532,305,306,304,306,5,24482
109/06/05,44077262,13655618646,308.5,312,308,311.5,5.5,24096
109/06/08,52042921,16500836851,316,319,315,318,6.5,28581
109/06/09,37068082,11746874522,316.5,319,314,319,1,19981
109/06/10,42207259,13566733306,319,324,318,322.5,3.5,22670
109/06/11,50612255,16340456218,325.5,327,318.5,320.5,-2,27061
109/06/12,46970918,14811252573,313,317.5,312.5,316,-4.5,25263
109/06/15,51032404,15955585136,316,317.5,308.5,309.5,-6.5,29255
109/06/16,40725216,12823172756,317,317,314,315,5.5,19377
109/06/17,34692968,10922017056,316.5,317,313.5,315,0,16218
109/06/18,35443474,11123108346,314.5,315,313,314.5,X0.00,11897
109/06/19,48130280,15102300186,314,314.5,312,314.5,0,12915
109/06/22,37374616,11722688924,314.5,316.5,312,312,-2.5,18836
109/06/23,41300084,12981121544,316,316.5,312.5,315,3,15959
109/06/24,55464024,17641164202,319,320,316,317.5,2.5,27086
109/06/29,56672892,17695228688,314,315,310,312,-5.5,30558
109/06/30,49241860,15386428040,313.5,314,311,313,1,16165
