109/04/01,47572034,13022612818,276.5,276.5,271.5,271.5,-2.5,19580
109/04/06,59712754,16324198154,273,275.5,270,275.5,4,19971
109/04/07,48887346,13817936851,283.5,284,280.5,283,7.5,24281
109/04/08,38698826,11016972354,285,285.5,283,285,2,19126
109/04/09,29276430,8346209654,287.5,288,282.5,283,-2,15271
109/04/10,28206858,7894277586,280,282,279,279.5,-3.5,15833
109/04/13,22196596,6202532380,278.5,281.5,278.5,278.5,-1,12809
109/04/14,50196688,14268689661,281,285.5,280,285,6.5,22214
109/04/15,58561434,16819851630,287,288.5,286,287.5,2.5,25696
109/04/16,48257280,13813721932,283,288.5,283,286.5,-1,19084
109/04/17,117447201,35719172728,303.5,308.5,300.5,306.5,20,60873
109/04/20,44586860,13605802989,308,309,302.5,304,-2.5,21791
109/04/21,61949357,18417786171,300.5,301.5,293.5,295,-9,39043
109/04/22,43568580,12746170556,294.5,295,290.5,294,-1,25176
109/04/23,39977278,11864085990,300,300,294,295.5,1.5,18541
109/04/24,26465090,7799075756,295.5,297,294,294,-1.5,13661
109/04/27,38493406,11461378300,298,298.5,296,298,4,15916
109/04/28,37621165,11134919970,298.5,298.5,294.5,296.5,-1.5,18214
109/04/29,46253301,13861245296,299,301.5,298,299,2.5,21633
109/04/30,58439085,17753466901,302,305,301.5,304.5,5.5,26219
