109/01/02,33282120,11224165450,332.5,339,332.5,339,8,17160
109/01/03,42023268,14295651580,344,345,335.5,339.5,0.5,20545
109/01/06,45677057,15210531318,333,334.5,332,332,-7.5,22944
109/01/07,51746181,17053282011,332.5,333,326.5,329.5,-2.5,22362
109/01/08,37913748,12484410088,325,333,325,329.5,0,18228
109/01/09,32397504,10890847940,335,337.5,333.5,337.5,8,16793
109/01/10,27880115,9432320316,340.5,341,336,339.5,2,13296
109/01/13,30663332,10455852739,342,342,339,341.5,2,13457
109/01/14,30368993,10488360978,345.5,346,344.5,346,4.5,16339
109/01/15,54575274,18590754206,345,345,337.5,340,-6,20392
109/01/16,58217420,19431133895,330,336.5,330,334.5,-5.5,24721
109/01/17,53908097,17977119406,334,335.5,332,333,-1.5,23954
109/01/20,35551203,11865436839,334,335.5,333,333,0,15095
109/01/30,126820049,40734449874,326,326,316.5,316.5,-16.5,55603
109/01/31,62912055,20205365710,323,323.5,319,320,3.5,22639
