109/02/03,59711849,18782694826,315,316.5,312,315,-5,26483
109/02/04,52208496,16882411296,319,326,318,325,10,22587
109/02/05,36601453,11985817083,329,329.5,324.5,327.5,2.5,16656
109/02/06,29659094,9803038836,329.5,332.5,329,332.5,5,14246
109/02/07,30055327,9869903253,330,330.5,326,328,-4.5,13075
109/02/10,30814424,10024967927,321.5,328,321,327.5,-0.5,14825
109/02/11,29062935,9629938182,330.5,332.5,330,331.5,4,12766
109/02/12,37612639,12593082711,333.5,336,333,335,3.5,17394
109/02/13,23217021,7805299096,338,338,335,335,0,12563
109/02/14,18326683,6155862838,337,337,334.5,335,0,7881
109/02/17,16145079,5354339726,331.5,333,330.5,331.5,-3.5,9747
109/02/18,64662604,20957801150,324.5,326.5,322,322,-9.5,36520
109/02/19,48856218,15881609046,322.5,327,322,326.5,4.5,16003
109/02/20,27061736,8832642641,328,329,325,325.5,-1,11695
109/02/21,22974534,7463007621,325.5,326.5,323,325,-0.5,9342
109/02/24,42946680,13754512932,319.5,321.5,319.5,320,-5,18902
109/02/25,38674011,12425785349,320,323.5,317.5,322,2,17366
109/02/26,60768362,19341695595,317,320.5,316.5,318.5,-3.5,24310
109/02/27,62401927,19756146876,319,320,315,316,-2.5,20633
